conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c7d58c9-125e-4d8d-9102-b8022c54d0b5,utiliser des équipements de communication maritime,released,skill/competence,sector-specific,,Utiliser et entretenir des appareils de communications maritimes; conduire des inspections périodiques d’équipements de communication.,http://data.europa.eu/esco/skill/b1a1947a-fdb3-4d09-babb-6f418930c8b8 | http://data.europa.eu/esco/skill/52c01fa8-ac34-4f81-97a8-55dcdc8645d1 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,gérer les normes de sécurité relatives au transport maritime | simplifier la communication en matière de gestion maritime | exploiter des équipements de communication
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cc1ee94-ab2c-4f35-8171-3cf4b5b664e4,composition numérique,released,knowledge,cross-sector,,Le processus et le logiciel permettant de rassembler numériquement des images pour en faire une image finale.,http://data.europa.eu/esco/isced-f/0211,techniques audiovisuelles et production multimédia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,released,knowledge,sector-specific,Client-side JavaScript | Mocha | Escript | JavaScript 1.7 | Live script | CSJS | JavaScript 1.6 | JavaScripts | Server-side JavaScript | Live Script,"Les techniques et les principes du développement de logiciels, tels que l’analyse, les algorithmes, le codage, les tests et la compilation des modèles de programmation en JavaScript.",http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28 | http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programmation web | développement et analyse de logiciels et d’applications | programmation informatique
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b,systèmes d’aide à la décision,released,knowledge,sector-specific,recherche opérationnelle | SAD | logiciels d’aide à la décision | systèmes interactif d’aide à la décision | outils d’optimisation | matrices d’aide à la décision | outils d’aide à la décision | systèmes informatisé d’aide à la décision | SIAD,Les systèmes d’information et de communication qui peuvent être utilisés pour accompagner le processus décisionnel des entreprises ou de l’organisation.,http://data.europa.eu/esco/isced-f/0611,utilisation d’un ordinateur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cee858e-79e8-4a4b-b99f-93c7f735d58b,DB2,released,knowledge,sector-specific,,"Le programme informatique IBM DB2 est un outil de création, de mise à jour et de gestion des bases de données, développé par la société de logiciel IBM.",http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f,conception et administration de bases de données et de réseau | systèmes de gestion de base de données
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425,optimiser le choix d’une solution TIC,released,skill/competence,sector-specific,,"Sélectionner les solutions appropriées dans le domaine des TIC tout en tenant compte des risques potentiels, des avantages et de l’impact global.",http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,résoudre des problèmes techniques | protéger des dispositifs tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,Microsoft Access,released,knowledge,sector-specific,,"Le programme informatique Access est un outil de création, de mise à jour et de gestion des bases de données, développé par la société de logiciel Microsoft.",http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f | http://data.europa.eu/esco/isced-f/0611,systèmes de gestion de base de données | utilisation d’un ordinateur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1,classer des documents,released,skill/competence,sector-specific,,"Créer un système de classement. Rédiger un catalogue de documents. Étiqueter des documents, etc.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,gérer des informations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d957fb2-b8f4-4b4c-b955-23299c761ad5,concevoir des cours en ligne,released,skill/competence,cross-sector,,"Créer des cours de formation et d’enseignement en ligne en utilisant des outils en ligne dynamiques et statiques pour fournir des résultats d’apprentissage au public du cours. Les outils web utilisés ici peuvent comprendre la diffusion vidéo et audio, les diffusions en direct sur Internet, les portails d’information, les forums de discussion et les tableaux d’affichage.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,concevoir des systèmes ou applications tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3dc6fd8e-6ff7-432e-a262-04d487858efb,assembler des composants matériels,released,skill/competence,cross-sector,,"Assembler les composants de matériel informatique nécessaires, tels que la carte mère, le processeur (CPU), le disque dur, le lecteur de disque, le bloc d’alimentation électrique, la mémoire RAM, la carte PCI, la souris, le clavier, les caméras et d’autres éléments nécessaires pour construire le dispositif informatique. Fixer les éléments manuellement à l’aide de tournevis ou de machines d’assemblage et installer le câblage.
   ",http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,travailler avec des ordinateurs
