conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,knowledge,transversal,portugais,released,,La langue portugaise. Le portugais est une langue officielle et de travail de l’UE.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Langues | maîtriser des langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/585824c4-ef01-49fd-9b14-be00162a2387,skill/competence,transversal,comprendre le persan écrit,released,,Lire et comprendre les textes écrits en persan.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,perse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5885fe45-0fd8-4eea-ac55-f46d46a44e6c,skill/competence,transversal,interagir verbalement en albanais,released,s'exprimer oralement en albanais,Communiquer oralement en albanais.,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,albanais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,knowledge,transversal,perse,released,,La langue persane.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Langues | maîtriser des langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/59ac89d7-12bb-470d-818b-222963d1c357,skill/competence,transversal,interagir verbalement en gujarati,released,s'exprimer oralement en gujarati,Communiquer oralement en gujarati.,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,gujarati
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5a6ac2a6-6aa3-4b68-b2ef-b2491fb146c1,skill/competence,transversal,écrire en gallois,released,,Rédiger des textes en gallois.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,gallois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b9694a6-58b0-4179-a1bd-4bcda0352ca1,skill/competence,transversal,écrire en macédonien,released,,Rédiger des textes en macédonien.,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,macédonien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,knowledge,transversal,azéri,released,,La langue azérie.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,maîtriser des langues | Langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,knowledge,transversal,letton,released,lette,La langue lettone. Le letton est une langue officielle et de travail de l’UE.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,maîtriser des langues | Langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5dfc81aa-c395-4e88-a0e0-a2fbb681ecc0,skill/competence,transversal,écrire en français,released,,Rédiger des textes en français.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,Français
